,id,name,capacity,lon,lat
0,arsenal_stadium,Арсенал,20074,37.603056,54.174167
1,ekaterinburg_arena,Central Stadium,35061,60.573611,56.8325
2,otkritie_arena,Открытие Арена,44360,37.44025,55.817861
3,rostov_arena,Ростов Арена,45000,39.737778,47.209444
4,samara_arena,Самара Арена,44918,50.237222,53.277778
5,saint_petersburg_stadium,Стадион Санкт-Петербург,70000,30.220533,59.972953
6,akhmat-arena,Ахмат-Арена,30597,45.745252,43.323176
7,rzd_arena,РЖД Арена,28800,37.741111,55.803611
8,neftyanik_stadium,Нефтяник,15234,56.06145,54.825864
10,veb_arena,ВЭБ Арена,30457,37.516111,55.791389
14,fisht_stadium,Fisht Olympic Stadium,47659,39.956111,43.402267
16,spartak_stadium,Стадион Спартак,0,32.035123,54.784021
17,krasnodar_stadium,Краснодар,35074,39.029444,45.044167
18,gazovik_stadium,Газовик,4950,55.219,51.787754
21,tsentralnyi_stadium,Центральный стадион,10321,32.0547,49.4361
26,mordovia_arena,Мордовия Арена,41685,45.201389,54.182778
84,kazan_arena,Казань Арена,42873,49.158497,55.818837
